,title,artist,genre
347,Baby Don't Lie,Gwen Stefani,dance pop
348,Don't Be so Hard on Yourself,Jess Glynne,dance pop
349,Steal My Girl,One Direction,boy band
350,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop
351,We Are Here,Alicia Keys,hip pop
352,St Jude,Florence + The Machine,art pop
353,Yesterday (feat. Bebe Rexha),David Guetta,dance pop
354,Time of Our Lives,Pitbull,dance pop
355,Sparks,Hilary Duff,dance pop
356,Mr. Put It Down,Ricky Martin,dance pop
357,Legendary Lovers,Katy Perry,dance pop
358,Spark The Fire,Gwen Stefani,dance pop
359,Run Run Run,Kelly Clarkson,dance pop
360,Let Me Be Your Lover,Enrique Iglesias,dance pop
361,Dangerous,Jennifer Hudson,dance pop
362,L.A.LOVE (la la),Fergie,dance pop
363,The Hills,The Weeknd,canadian contemporary r&b
364,Love Yourself,Justin Bieber,canadian pop
365,Cake By The Ocean,DNCE,dance pop
366,Don't Let Me Down,The Chainsmokers,electropop
367,In the Name of Love,Martin Garrix,big room
368,Into You,Ariana Grande,dance pop
369,This Is What You Came For,Calvin Harris,dance pop
370,Million Reasons,Lady Gaga,dance pop
371,Needed Me,Rihanna,barbadian pop
373,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop
374,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop
375,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b
376,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop
377,Work,Rihanna,barbadian pop
378,Stitches,Shawn Mendes,canadian pop
379,"Me, Myself & I",G-Eazy,hip hop
380,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop
381,Dangerous Woman,Ariana Grande,dance pop
382,Starving,Hailee Steinfeld,dance pop
383,Shout Out to My Ex,Little Mix,dance pop
384,Electric Love,BØRNS,electropop
385,Confident,Demi Lovato,dance pop
386,Too Good,Drake,canadian hip hop
387,Roses,The Chainsmokers,electropop
388,Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop
389,Me Too,Meghan Trainor,dance pop
